id,name,supertype,set_name,number,hp,subtypes,types,rarity,image_url,p_hash
bw1-14,Sawsbuck,Pokémon,Black & White,14,90,Stage 1,Grass,Rare,https://images.pokemontcg.io/bw1/14_hires.png,fa52c0981d3db5e4
swsh2-10,Surskit,Pokémon,Rebel Clash,10,50,Basic,Grass,Common,https://images.pokemontcg.io/swsh2/10_hires.png,ee6e8491913b3cc5
xy6-13,Victini,Pokémon,Roaring Skies,13,70,Basic,Fire,Rare,https://images.pokemontcg.io/xy6/13_hires.png,cb43d0b43c3c9dc9
pop8-10,Rare Candy,Trainer,POP Series 8,10,,Item,,Uncommon,https://images.pokemontcg.io/pop8/10_hires.png,993bc6c4c23a1f95
sm2-16,Salazzle,Pokémon,Guardians Rising,16,110,Stage 1,Fire,Rare,https://images.pokemontcg.io/sm2/16_hires.png,ef6ec494953272c1
sm9-18,Rapidash,Pokémon,Team Up,18,100,Stage 1,Fire,Uncommon,https://images.pokemontcg.io/sm9/18_hires.png,af94e469c85a1e8e
pop9-16,Piplup,Pokémon,POP Series 9,16,50,Basic,Water,Common,https://images.pokemontcg.io/pop9/16_hires.png,9f2dcec042379a96
sm3-14,Dewpider,Pokémon,Burning Shadows,14,60,Basic,Grass,Common,https://images.pokemontcg.io/sm3/14_hires.png,ee4ee0c1813f3393
xy4-15,Totodile,Pokémon,Phantom Forces,15,60,Basic,Water,Common,https://images.pokemontcg.io/xy4/15_hires.png,ca1995b91edaf064
ex8-15,Slaking,Pokémon,Deoxys,15,120,Stage 2,Colorless,Rare Holo,https://images.pokemontcg.io/ex8/15_hires.png,9a5f95b068e3c2c6
sm7-11,Seedot,Pokémon,Celestial Storm,11,40,Basic,Grass,Common,https://images.pokemontcg.io/sm7/11_hires.png,ab5a8e88f434b497
swshp-SWSH007,Frosmoth,Pokémon,SWSH Black Star Promos,SWSH007,90,Stage 1,Water,Promo,https://images.pokemontcg.io/swshp/SWSH007_hires.png,eed0e42d3d62c81b
sm12-16,Sawsbuck,Pokémon,Cosmic Eclipse,16,100,Stage 1,Grass,Rare Holo,https://images.pokemontcg.io/sm12/16_hires.png,af5ad0c1c466b4b5
ex12-19,Lanturn,Pokémon,Legend Maker,19,80,Stage 1,Lightning,Rare,https://images.pokemontcg.io/ex12/19_hires.png,9f1f4ac0c2d393e4
dp5-8,Manaphy,Pokémon,Majestic Dawn,8,70,Basic,Water,Rare Holo,https://images.pokemontcg.io/dp5/8_hires.png,da0aced1e0b5634e
sma-SV9,Wooper,Pokémon,Hidden Fates Shiny Vault,SV9,70,Basic,Water,Rare Shiny,https://images.pokemontcg.io/sma/SV9_hires.png,e4c46f1b9236346d
gym1-16,Erika,Trainer,Gym Heroes,16,,,,Rare Holo,https://images.pokemontcg.io/gym1/16_hires.png,de7ab1814e583a36
base1-17,Beedrill,Pokémon,Base,17,80,Stage 2,Grass,Rare,https://images.pokemontcg.io/base1/17_hires.png,bf3ae0e0c993c1c3
xy7-17,Volcarona,Pokémon,Ancient Origins,17,100,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/xy7/17_hires.png,ba39c1e0cc979b13
ex3-16,Girafarig,Pokémon,Dragon,16,70,Basic,Psychic,Rare,https://images.pokemontcg.io/ex3/16_hires.png,ea4f9c9182e2d365
base4-18,Venusaur,Pokémon,Base Set 2,18,100,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/base4/18_hires.png,de5ac1b160c5c1cf
ex16-7,Cradily,Pokémon,Power Keepers,7,110,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/ex16/7_hires.png,ce4ec1b1e9b2c6c4
xy11-19,Monferno,Pokémon,Steam Siege,19,80,Stage 1,Fire,Uncommon,https://images.pokemontcg.io/xy11/19_hires.png,ea819b5accd0b13b
xy12-9,Charmander,Pokémon,Evolutions,9,60,Basic,Fire,Common,https://images.pokemontcg.io/xy12/9_hires.png,dbd181ab0e2ed525
sm6-11,Pheromosa,Pokémon,Forbidden Light,11,110,"Basic,Ultra Beast",Grass,Rare Holo,https://images.pokemontcg.io/sm6/11_hires.png,bf1eb4f0e04b9390
np-6,Torchic,Pokémon,Nintendo Black Star Promos,6,40,Basic,Fire,Promo,https://images.pokemontcg.io/np/6_hires.png,8f5fc293c2b5c4c4
xyp-XY07,Xerneas-EX,Pokémon,XY Black Star Promos,XY07,170,"Basic,EX",Fairy,Promo,https://images.pokemontcg.io/xyp/XY07_hires.png,abf5fc725119806a
bw3-9,Foongus,Pokémon,Noble Victories,9,40,Basic,Grass,Common,https://images.pokemontcg.io/bw3/9_hires.png,ee5c8193c766b027
col1-17,Ninetales,Pokémon,Call of Legends,17,90,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/col1/17_hires.png,eec68439b9919d07
dc1-8,Team Aqua's Muk,Pokémon,Double Crisis,8,110,Stage 1,Psychic,Rare Holo,https://images.pokemontcg.io/dc1/8_hires.png,ee4fc0f0c8b895b1
neo1-9,Lugia,Pokémon,Neo Genesis,9,90,Basic,Colorless,Rare Holo,https://images.pokemontcg.io/neo1/9_hires.png,be5ac3c134349d8b
hgss1-18,Exeggutor,Pokémon,HeartGold & SoulSilver,18,90,Stage 1,Psychic,Rare,https://images.pokemontcg.io/hgss1/18_hires.png,ba9db0f0c49a9a4e
base5-14,Dark Weezing,Pokémon,Team Rocket,14,60,Stage 1,Grass,Rare Holo,https://images.pokemontcg.io/base5/14_hires.png,cb4be1b42eb6b0b0
ex13-15,Raichu δ,Pokémon,Holon Phantoms,15,70,Stage 1,Metal,Rare Holo,https://images.pokemontcg.io/ex13/15_hires.png,ca4e7b91f1e0cc85
pop5-12,Pikachu,Pokémon,POP Series 5,12,50,Basic,Lightning,Common,https://images.pokemontcg.io/pop5/12_hires.png,9b4fd191c25e1e85
ex14-14,Blastoise,Pokémon,Crystal Guardians,14,120,Stage 2,Water,Rare,https://images.pokemontcg.io/ex14/14_hires.png,9b23e1e1cade4a4c
ecard1-8,Cloyster,Pokémon,Expedition Base Set,8,80,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/ecard1/8_hires.png,fb7b80c0c5b581c7
ex15-7,Nidoqueen δ,Pokémon,Dragon Frontiers,7,100,Stage 2,Metal,Rare Holo,https://images.pokemontcg.io/ex15/7_hires.png,b377e280d8d84b8b
neo4-16,Miracle Energy,Energy,Neo Destiny,16,,Special,,Rare Holo,https://images.pokemontcg.io/neo4/16_hires.png,ca4ee53393e0ccc6
ecard3-H13,Kabutops,Pokémon,Skyridge,H13,90,Stage 2,Fighting,Rare Holo,https://images.pokemontcg.io/ecard3/H13_hires.png,fe5e8181ed619496
pl3-16,Articuno,Pokémon,Supreme Victors,16,100,Basic,Water,Rare,https://images.pokemontcg.io/pl3/16_hires.png,db1bd0d10e1e6a6c
neo3-15,Aerodactyl,Pokémon,Neo Revelation,15,60,Stage 1,Fighting,Rare,https://images.pokemontcg.io/neo3/15_hires.png,ee7e81814be29297
sm35-7,Shaymin,Pokémon,Shining Legends,7,70,Basic,Grass,Rare Holo,https://images.pokemontcg.io/sm35/7_hires.png,a5d43e3a561a386b
xy8-12,Chesnaught BREAK,Pokémon,BREAKthrough,12,190,BREAK,Grass,Rare BREAK,https://images.pokemontcg.io/xy8/12_hires.png,c79d9bb284617c68
ecard2-H20,Octillery,Pokémon,Aquapolis,H20,80,Stage 1,Water,Rare Holo,https://images.pokemontcg.io/ecard2/H20_hires.png,fa798090c6f5a14f
dp3-20,Venusaur,Pokémon,Secret Wonders,20,130,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/dp3/20_hires.png,da5ac0f0ce93d1ac
dp7-8,Raichu,Pokémon,Stormfront,8,90,Stage 1,Lightning,Rare Holo,https://images.pokemontcg.io/dp7/8_hires.png,9e1ec1e1e447d6c4
pop6-16,Starly,Pokémon,POP Series 6,16,50,Basic,Colorless,Common,https://images.pokemontcg.io/pop6/16_hires.png,ce4ef191032fc2e6
base3-18,Ditto,Pokémon,Fossil,18,50,Basic,Colorless,Rare,https://images.pokemontcg.io/base3/18_hires.png,bf6f818190ba9b83
gym2-19,Koga,Trainer,Gym Challenge,19,,,,Rare Holo,https://images.pokemontcg.io/gym2/19_hires.png,be3ec5e162981cc6
xy9-8,Lilligant,Pokémon,BREAKpoint,8,80,Stage 1,Grass,Rare,https://images.pokemontcg.io/xy9/8_hires.png,eb6bc4909a1ad9cc
dpp-DP17,Dialga LV.X,Pokémon,DP Black Star Promos,DP17,110,Level-Up,Metal,Promo,https://images.pokemontcg.io/dpp/DP17_hires.png,cb6fc0943d1bc1c5
dp2-9,Garchomp,Pokémon,Mysterious Treasures,9,130,Stage 2,Colorless,Rare Holo,https://images.pokemontcg.io/dp2/9_hires.png,bb7bc0c5c04b8f85
bw2-9,Cottonee,Pokémon,Emerging Powers,9,40,Basic,Grass,Common,https://images.pokemontcg.io/bw2/9_hires.png,9ad0a4382fb3932f
dv1-19,First Ticket,Trainer,Dragon Vault,19,,Item,,,https://images.pokemontcg.io/dv1/19_hires.png,ca6a95959c79b183
swsh4-13,Nincada,Pokémon,Vivid Voltage,13,40,Basic,Grass,Common,https://images.pokemontcg.io/swsh4/13_hires.png,fbd82e26e4623919
sm5-18,Magmar,Pokémon,Ultra Prism,18,80,Basic,Fire,Common,https://images.pokemontcg.io/sm5/18_hires.png,aec4f878d41623e3
dp6-7,Kingdra,Pokémon,Legends Awakened,7,130,Stage 2,Water,Rare Holo,https://images.pokemontcg.io/dp6/7_hires.png,da4bc6e46cb49187
pop4-15,Treecko δ,Pokémon,POP Series 4,15,40,Basic,Psychic,Common,https://images.pokemontcg.io/pop4/15_hires.png,da5e9f9148e860e5
ex6-12,Raichu,Pokémon,FireRed & LeafGreen,12,80,Stage 1,Lightning,Rare Holo,https://images.pokemontcg.io/ex6/12_hires.png,be4e93918d6cc1d1
ex4-17,Team Aqua's Seviper,Pokémon,Team Magma vs Team Aqua,17,80,Basic,Grass,Rare,https://images.pokemontcg.io/ex4/17_hires.png,83574998c8b47d6d
bw6-17,Foongus,Pokémon,Dragons Exalted,17,40,Basic,Grass,Common,https://images.pokemontcg.io/bw6/17_hires.png,fa7a959c4ac2d485
sm11-9,Leavanny,Pokémon,Unified Minds,9,120,Stage 2,Grass,Rare,https://images.pokemontcg.io/sm11/9_hires.png,eb4a94b4b078399d
hgss3-13,Forretress,Pokémon,HS—Undaunted,13,80,Stage 1,Metal,Rare,https://images.pokemontcg.io/hgss3/13_hires.png,b327c8989e1ef0e8
bw10-19,Octillery,Pokémon,Plasma Blast,19,90,"Stage 1,Team Plasma",Water,Uncommon,https://images.pokemontcg.io/bw10/19_hires.png,d4784ac991b5374e
sm1-16,Morelull,Pokémon,Sun & Moon,16,60,Basic,Grass,Common,https://images.pokemontcg.io/sm1/16_hires.png,cf4ef4b1b030b8d1
bw8-14,Moltres-EX,Pokémon,Plasma Storm,14,170,"Basic,EX,Team Plasma",Fire,Rare Holo EX,https://images.pokemontcg.io/bw8/14_hires.png,bb1ad6ee7c3c1006
dp4-13,Beedrill,Pokémon,Great Encounters,13,110,Stage 2,Grass,Rare,https://images.pokemontcg.io/dp4/13_hires.png,c7d7c4b04cb45969
swsh3-10,Accelgor,Pokémon,Darkness Ablaze,10,90,Stage 1,Grass,Rare,https://images.pokemontcg.io/swsh3/10_hires.png,eb6bf4d0d4a4b490
ex10-17,Typhlosion,Pokémon,Unseen Forces,17,110,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/ex10/17_hires.png,9a5bd8d0c2c78796
xy12-10,Charmeleon,Pokémon,Evolutions,10,80,Stage 1,Fire,Uncommon,https://images.pokemontcg.io/xy12/10_hires.png,fb5bc4b02829c96d
ex12-20,Lunatone,Pokémon,Legend Maker,20,60,Basic,Psychic,Rare,https://images.pokemontcg.io/ex12/20_hires.png,8a46d091693d7b2f
bw4-18,Litwick,Pokémon,Next Destinies,18,60,Basic,Fire,Common,https://images.pokemontcg.io/bw4/18_hires.png,cb4bb4b0b4d2c5c5
sm9-19,Moltres,Pokémon,Team Up,19,120,Basic,Fire,Rare Holo,https://images.pokemontcg.io/sm9/19_hires.png,ebd0943e6c6b6928
xy0-11,Panpour,Pokémon,Kalos Starter Set,11,70,Basic,Water,,https://images.pokemontcg.io/xy0/11_hires.png,ea6194b51f1b998c
col1-18,Pachirisu,Pokémon,Call of Legends,18,60,Basic,Lightning,Rare Holo,https://images.pokemontcg.io/col1/18_hires.png,bf5bc1a58486cad1
pop4-16,Wobbuffet,Pokémon,POP Series 4,16,80,Basic,Psychic,Common,https://images.pokemontcg.io/pop4/16_hires.png,9f1f9cd1418bdac0
bw7-17,Lilligant,Pokémon,Boundaries Crossed,17,80,Stage 1,Grass,Rare,https://images.pokemontcg.io/bw7/17_hires.png,af4991b0d8c6978d
sm1-17,Shiinotic,Pokémon,Sun & Moon,17,100,Stage 1,Grass,Rare Holo,https://images.pokemontcg.io/sm1/17_hires.png,9e1ef961e0e4a585
bw3-10,Amoonguss,Pokémon,Noble Victories,10,90,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/bw3/10_hires.png,be5ec4b09899992d
bw6-18,Vulpix,Pokémon,Dragons Exalted,18,60,Basic,Fire,Common,https://images.pokemontcg.io/bw6/18_hires.png,ea70c49a8cf0b52f
ex7-18,Dark Sandslash,Pokémon,Team Rocket Returns,18,70,Stage 1,"Fighting,Darkness",Rare,https://images.pokemontcg.io/ex7/18_hires.png,fa9e687181df8192
sm4-10,Skiddo,Pokémon,Crimson Invasion,10,70,Basic,Grass,Common,https://images.pokemontcg.io/sm4/10_hires.png,eb68da929135278d
ex9-18,Relicanth,Pokémon,Emerald,18,70,Basic,Water,Rare,https://images.pokemontcg.io/ex9/18_hires.png,93859e984b7b6a0e
ex3-17,Magneton,Pokémon,Dragon,17,70,Stage 1,Lightning,Rare,https://images.pokemontcg.io/ex3/17_hires.png,fb6ad0908f27c6c4
dp6-8,Luxray,Pokémon,Legends Awakened,8,120,Stage 2,Lightning,Rare Holo,https://images.pokemontcg.io/dp6/8_hires.png,bf6ec4c1c85ad285
dp1-17,Torterra,Pokémon,Diamond & Pearl,17,140,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/dp1/17_hires.png,ca7ee4b0c8c3c3c5
dp5-9,Mewtwo,Pokémon,Majestic Dawn,9,90,Basic,Psychic,Rare Holo,https://images.pokemontcg.io/dp5/9_hires.png,9a4ed4b4e6b3c1c1
xy4-16,Croconaw,Pokémon,Phantom Forces,16,80,Stage 1,Water,Uncommon,https://images.pokemontcg.io/xy4/16_hires.png,fa69ced2c2969185
sm3-15,Araquanid,Pokémon,Burning Shadows,15,100,Stage 1,Grass,Rare,https://images.pokemontcg.io/sm3/15_hires.png,bb32c4c9cc1eb4b1
ecard2-H21,Scizor,Pokémon,Aquapolis,H21,80,Stage 1,Metal,Rare Holo,https://images.pokemontcg.io/ecard2/H21_hires.png,fe5e81a1c06d859b
sm5-19,Magmortar,Pokémon,Ultra Prism,19,130,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/sm5/19_hires.png,fbd2d6e4c4252529
pop8-11,Roseanne's Research,Trainer,POP Series 8,11,,Supporter,,Uncommon,https://images.pokemontcg.io/pop8/11_hires.png,d56ad2d04b692f85
dv1-20,Super Rod,Trainer,Dragon Vault,20,,Item,,Rare Holo,https://images.pokemontcg.io/dv1/20_hires.png,9e6ac1c1fc3ec1c1
bw9-15,Lampent,Pokémon,Plasma Freeze,15,80,Stage 1,Fire,Uncommon,https://images.pokemontcg.io/bw9/15_hires.png,eec4d01a9bb3e168
g1-8,Tangela,Pokémon,Generations,8,80,Basic,Grass,Common,https://images.pokemontcg.io/g1/8_hires.png,ea68869795b5981e
hgss1-19,Farfetch'd,Pokémon,HeartGold & SoulSilver,19,60,Basic,Colorless,Rare,https://images.pokemontcg.io/hgss1/19_hires.png,ea6ec2b1b59dd0c0
dp4-14,Butterfree,Pokémon,Great Encounters,14,120,Stage 2,Grass,Rare,https://images.pokemontcg.io/dp4/14_hires.png,ead2c9184da7535a
base2-10,Scyther,Pokémon,Jungle,10,70,Basic,Grass,Rare Holo,https://images.pokemontcg.io/base2/10_hires.png,bb3bc5a064c2d9c5
hgss3-14,Hariyama,Pokémon,HS—Undaunted,14,100,Stage 1,Fighting,Rare,https://images.pokemontcg.io/hgss3/14_hires.png,bb1ab4b543c3ca8c
bw1-15,Tepig,Pokémon,Black & White,15,60,Basic,Fire,Common,https://images.pokemontcg.io/bw1/15_hires.png,bfb784984c58d86a
swsh35-19,Hattrem,Pokémon,Champion's Path,19,90,Stage 1,Psychic,Uncommon,https://images.pokemontcg.io/swsh35/19_hires.png,faca9cf8e461a0a9
sm2-17,Turtonator,Pokémon,Guardians Rising,17,110,Basic,Fire,Rare,https://images.pokemontcg.io/sm2/17_hires.png,ea68bd9dc7c290b0
base6-17,Ninetales,Pokémon,Legendary Collection,17,80,Stage 1,Fire,Rare Holo,https://images.pokemontcg.io/base6/17_hires.png,cb4bb0b068cfc1c7
bwp-BW10,Axew,Pokémon,BW Black Star Promos,BW10,50,Basic,Colorless,Promo,https://images.pokemontcg.io/bwp/BW10_hires.png,af3fc4d0d0f89185
mcd16-8,Jigglypuff,Pokémon,McDonald's Collection 2016,8,60,Basic,Fairy,,https://images.pokemontcg.io/mcd16/8_hires.png,be9c897be030d0cb
ex5-11,Metagross,Pokémon,Hidden Legends,11,100,Stage 2,"Psychic,Metal",Rare Holo,https://images.pokemontcg.io/ex5/11_hires.png,be7dc181cbaa4ac2
smp-SM11,Bruxish,Pokémon,SM Black Star Promos,SM11,110,Basic,Water,Promo,https://images.pokemontcg.io/smp/SM11_hires.png,afd0ece294071a7a
ex15-8,Ninetales δ,Pokémon,Dragon Frontiers,8,70,Stage 1,Psychic,Rare Holo,https://images.pokemontcg.io/ex15/8_hires.png,9b1fcbc148f44ca5
pop6-17,Turtwig,Pokémon,POP Series 6,17,60,Basic,Grass,Common,https://images.pokemontcg.io/pop6/17_hires.png,f2f0878e4cf13127
dp3-21,Absol,Pokémon,Secret Wonders,21,70,Basic,Darkness,Rare,https://images.pokemontcg.io/dp3/21_hires.png,ab9bf062b466c4cc
neo1-10,Meganium,Pokémon,Neo Genesis,10,100,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/neo1/10_hires.png,bf5ae1a1879a9191
dp7-9,Regigigas,Pokémon,Stormfront,9,100,Basic,Colorless,Rare Holo,https://images.pokemontcg.io/dp7/9_hires.png,bb4bc4b424b1d1d9
swsh2-11,Masquerain,Pokémon,Rebel Clash,11,90,Stage 1,Grass,Uncommon,https://images.pokemontcg.io/swsh2/11_hires.png,ef6ed490b499d8c0
basep-14,Mewtwo,Pokémon,Wizards Black Star Promos,14,70,Basic,Psychic,Promo,https://images.pokemontcg.io/basep/14_hires.png,bf5fc1e1c0a6c1c4
neo4-17,Dark Ariados,Pokémon,Neo Destiny,17,60,Stage 1,Grass,Rare,https://images.pokemontcg.io/neo4/17_hires.png,ab7bc49088a7d9c6
pop2-11,TV Reporter,Trainer,POP Series 2,11,,Supporter,,Uncommon,https://images.pokemontcg.io/pop2/11_hires.png,d66ac8c10d373e9a
xy2-21,Qwilfish,Pokémon,Flashfire,21,80,Basic,Water,Rare,https://images.pokemontcg.io/xy2/21_hires.png,ea6ad0919d1e998d
pop5-13,Pikachu δ,Pokémon,POP Series 5,13,40,Basic,Metal,Common,https://images.pokemontcg.io/pop5/13_hires.png,ca4eb795b3cbc0c0
sm12-17,Rowlet,Pokémon,Cosmic Eclipse,17,50,Basic,Grass,Common,https://images.pokemontcg.io/sm12/17_hires.png,ea5ad4b4a42f27a1
neo3-16,Celebi,Pokémon,Neo Revelation,16,50,Basic,Grass,Rare,https://images.pokemontcg.io/neo3/16_hires.png,cada85a56ee294b4
pop9-17,Turtwig,Pokémon,POP Series 9,17,60,Basic,Grass,Common,https://images.pokemontcg.io/pop9/17_hires.png,bb39c0d2468fd594
xy6-14,Fletchinder,Pokémon,Roaring Skies,14,70,Stage 1,Fire,Uncommon,https://images.pokemontcg.io/xy6/14_hires.png,ea9595b0c85a9e0f
swshp-SWSH008,Galarian Perrserker,Pokémon,SWSH Black Star Promos,SWSH008,120,Stage 1,Metal,Promo,https://images.pokemontcg.io/swshp/SWSH008_hires.png,ae2ee590f1e0f981
pl3-17,Butterfree FB,Pokémon,Supreme Victors,17,90,"Basic,SP",Grass,Rare,https://images.pokemontcg.io/pl3/17_hires.png,fe5483b35ab88c85
ecard3-H14,Ledian,Pokémon,Skyridge,H14,70,Stage 1,Grass,Rare Holo,https://images.pokemontcg.io/ecard3/H14_hires.png,ea6a80919fb791c5
xyp-XY08,Yveltal-EX,Pokémon,XY Black Star Promos,XY08,170,"Basic,EX",Darkness,Promo,https://images.pokemontcg.io/xyp/XY08_hires.png,b2f5b36ed4c8c038
sm7-12,Seedot,Pokémon,Celestial Storm,12,60,Basic,Grass,Common,https://images.pokemontcg.io/sm7/12_hires.png,ef68d092962e25e9
xy5-17,Volbeat,Pokémon,Primal Clash,17,70,Basic,Grass,Common,https://images.pokemontcg.io/xy5/17_hires.png,eb7984b095c6d60e
np-7,Treecko,Pokémon,Nintendo Black Star Promos,7,40,Basic,Grass,Promo,https://images.pokemontcg.io/np/7_hires.png,8e4eced0c1b1f1c3
dpp-DP18,Palkia LV.X,Pokémon,DP Black Star Promos,DP18,120,Level-Up,Water,Promo,https://images.pokemontcg.io/dpp/DP18_hires.png,970fcac1497e6a4a
xy9-9,Durant,Pokémon,BREAKpoint,9,70,Basic,Grass,Uncommon,https://images.pokemontcg.io/xy9/9_hires.png,eb68c494973b919c
pop1-17,Tyranitar ex,Pokémon,POP Series 1,17,150,"Stage 2,ex",Darkness,Rare,https://images.pokemontcg.io/pop1/17_hires.png,8fde4ac1f8c168c3
gym2-20,Sabrina,Trainer,Gym Challenge,20,,,,Rare Holo,https://images.pokemontcg.io/gym2/20_hires.png,9f3be4e0ca1a3c94
ex8-16,Deoxys,Pokémon,Deoxys,16,70,Basic,Psychic,Rare,https://images.pokemontcg.io/ex8/16_hires.png,9b1fc2e149b9b4a4
xy10-17,Omanyte,Pokémon,Fates Collide,17,80,Restored,Water,Uncommon,https://images.pokemontcg.io/xy10/17_hires.png,ee259f998cf4b00a
pop3-15,Marshtomp,Pokémon,POP Series 3,15,70,Stage 1,Fighting,Common,https://images.pokemontcg.io/pop3/15_hires.png,db4ad391c8f8588d
hsp-HGSS09,Typhlosion,Pokémon,HGSS Black Star Promos,HGSS09,140,"Stage 2,Prime",Fire,Promo,https://images.pokemontcg.io/hsp/HGSS09_hires.png,9e1ed4d169e1a5c4
neo2-9,Poliwrath,Pokémon,Neo Discovery,9,90,Stage 2,Fighting,Rare Holo,https://images.pokemontcg.io/neo2/9_hires.png,ee6e9191b1a6c4c5
base3-19,Dragonite,Pokémon,Fossil,19,100,Stage 2,Colorless,Rare,https://images.pokemontcg.io/base3/19_hires.png,bf7181814f6ad9c2
bw2-10,Cottonee,Pokémon,Emerging Powers,10,50,Basic,Grass,Common,https://images.pokemontcg.io/bw2/10_hires.png,ae4ee1325391b52d
bw11-20,Vulpix,Pokémon,Legendary Treasures,20,60,Basic,Fire,Common,https://images.pokemontcg.io/bw11/20_hires.png,af85c4f01e1e986e
base5-15,Here Comes Team Rocket!,Trainer,Team Rocket,15,,,,Rare Holo,https://images.pokemontcg.io/base5/15_hires.png,fe3e95c06a8c9692
sm8-15,Pineco,Pokémon,Lost Thunder,15,60,Basic,Grass,Common,https://images.pokemontcg.io/sm8/15_hires.png,ae7ef090988e85e5
swsh4-14,Ninjask,Pokémon,Vivid Voltage,14,60,Stage 1,Grass,Rare,https://images.pokemontcg.io/swsh4/14_hires.png,bbd3cc9c3c342c85
bw5-13,Entei-EX,Pokémon,Dark Explorers,13,180,"Basic,EX",Fire,Rare Holo EX,https://images.pokemontcg.io/bw5/13_hires.png,e764b4994fda5034
xy7-18,Volcarona,Pokémon,Ancient Origins,18,110,Stage 1,Fire,Rare,https://images.pokemontcg.io/xy7/18_hires.png,ea7ad99dc446c099
ex4-18,Team Aqua's Sharpedo,Pokémon,Team Magma vs Team Aqua,18,70,Stage 1,Water,Rare,https://images.pokemontcg.io/ex4/18_hires.png,9a3bcac1c495dac5
xy1-17,Vivillon,Pokémon,XY,17,130,Stage 2,Grass,Rare Holo,https://images.pokemontcg.io/xy1/17_hires.png,ee58cf3381b1910f
sm10-10,Venonat,Pokémon,Unbroken Bonds,10,60,Basic,Grass,Common,https://images.pokemontcg.io/sm10/10_hires.png,af3ed4d0d0b09ccc
dp2-10,Honchkrow,Pokémon,Mysterious Treasures,10,90,Stage 1,Darkness,Rare Holo,https://images.pokemontcg.io/dp2/10_hires.png,facec4c3e133e0c4
dc1-9,Team Aqua's Seviper,Pokémon,Double Crisis,9,90,Basic,Psychic,Common,https://images.pokemontcg.io/dc1/9_hires.png,b60c9df1c2f2a28e
xy11-20,Infernape,Pokémon,Steam Siege,20,130,Stage 2,Fire,Rare Holo,https://images.pokemontcg.io/xy11/20_hires.png,ba95853bc0f0d84f
ex1-10,Mightyena,Pokémon,Ruby & Sapphire,10,70,Stage 1,Darkness,Rare Holo,https://images.pokemontcg.io/ex1/10_hires.png,cf4fcac1f0d880c7
ex16-8,Delcatty,Pokémon,Power Keepers,8,70,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/ex16/8_hires.png,ea4b9795c8e0c897
ex14-15,Cacturne δ,Pokémon,Crystal Guardians,15,80,Stage 1,Fighting,Rare,https://images.pokemontcg.io/ex14/15_hires.png,de4e4f8f4a92d0b0
ecard1-9,Dragonite,Pokémon,Expedition Base Set,9,100,Stage 2,Colorless,Rare Holo,https://images.pokemontcg.io/ecard1/9_hires.png,be7ec0c0c3b383c5
swsh1-17,Blipbug,Pokémon,Sword & Shield,17,40,Basic,Grass,Common,https://images.pokemontcg.io/swsh1/17_hires.png,e7e0e04a5a1e9c9d
base4-19,Wigglytuff,Pokémon,Base Set 2,19,80,Stage 1,Colorless,Rare Holo,https://images.pokemontcg.io/base4/19_hires.png,be7aa0b0638b8d87
sm115-19,Pikachu,Pokémon,Hidden Fates,19,70,Basic,Lightning,Common,https://images.pokemontcg.io/sm115/19_hires.png,bb5a64f0989a95a5
hgss2-17,Kingdra,Pokémon,HS—Unleashed,17,130,Stage 2,Water,Rare,https://images.pokemontcg.io/hgss2/17_hires.png,bb399494cadaf046
pl2-14,Aggron,Pokémon,Rising Rivals,14,130,Stage 2,Metal,Rare,https://images.pokemontcg.io/pl2/14_hires.png,db4b9a94a4e5c3c2
sm35-8,Virizion,Pokémon,Shining Legends,8,110,Basic,Grass,Rare Holo,https://images.pokemontcg.io/sm35/8_hires.png,fb7a8494b43287c5
bw8-15,Chimchar,Pokémon,Plasma Storm,15,50,Basic,Fire,Common,https://images.pokemontcg.io/bw8/15_hires.png,be9494d84972e565
bw10-20,Suicune,Pokémon,Plasma Blast,20,100,Basic,Water,Rare,https://images.pokemontcg.io/bw10/20_hires.png,ba38c4d18b9bd1cc
sm115-20,Raichu-GX,Pokémon,Hidden Fates,20,210,"Stage 1,GX",Lightning,Rare Holo GX,https://images.pokemontcg.io/sm115/20_hires.png,8b9af82fc1c8d217
swsh2-12,Snover,Pokémon,Rebel Clash,12,90,Basic,Grass,Common,https://images.pokemontcg.io/swsh2/12_hires.png,eac83c3d64624b9b
sm3-16,Wimpod,Pokémon,Burning Shadows,16,70,Basic,Grass,Common,https://images.pokemontcg.io/sm3/16_hires.png,af3af490b4e8c8c9
sm35-9,Shining Genesect,Pokémon,Shining Legends,9,130,Basic,Grass,Rare Shining,https://images.pokemontcg.io/sm35/9_hires.png,ab72378dccc0b135
